fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,comuna,precio_min,link_evento
Ticketplus,¡Únete a la Famiglia! – Campaña de Abonados Audax Italiano,,2025-06-11,11:00:00,2026-12-31,Estadio Bicentenario de La Florida,La Florida,51201,https://ticketplus.cl/events/abono-famiglia-audina
MAVI UC (Museo de Artes Visuales),"""La llegada de lo blanco"". A 25 años de la Colección MAVI UC",exposición,2026-04-12,,2027-04-25,MAVI UC,Santiago,0,https://www.uc.cl/agenda/actividad/mavi-uc-conmemora-su-25-aniversario-con-gran-exposicion-de-su-coleccion
Ticketplus,Taste Society,,2026-05-23,,2026-08-22,Hotel Las Majadas,Pirque,0,https://ticketplus.cl/events/taste-society
Ticketplus,Dia de Spa - Club Recrear,,2026-06-15,12:00:00,2026-12-30,Club Recrear,Macul,55000,https://ticketplus.cl/events/dia-de-spa-club-recrear
Ticketplus,Los Domingos de Alauda Ruiz de Azúa en SALA K,,2026-06-24,,2026-08-30,Sala K U Mayor,Santiago,2200,https://ticketplus.cl/events/los-domingos-de-alauda-ruiz-de-azua-en-sala-k
Ticketplus,Abono M. Puente Alto 2026,,2026-06-25,00:00:00,2026-12-31,Gimnasio Municipal De Puente Allto,Puente Alto,30000,https://ticketplus.cl/events/abono-m-puente-alto-2026
Passline,Internacional Tattoo Masters Fest 2026,,2026-07-02,15:00:00,2026-12-13,Alto San Francisco San Francisco 75,Santiago,7000,https://www.passline.com/eventos/internacional-tattoo-masters-fest-2026
MAVI UC (Museo de Artes Visuales),Exposición Colectiva XIX Premio MAVI UC LarrainVial Arte Joven,exposición,2026-07-03,,2026-08-23,MAVI UC,Santiago,0,https://www.uc.cl/agenda/actividad/exposicion-colectiva-xix-premio-mavi-uc-larrain-vial-arte-joven
Ticketplus,Membresía Anual Sala Nemesio,,2026-07-06,,2027-07-06,Sala Nemesio,La Reina,0,https://ticketplus.cl/events/membresia-sala-nemesio
Ticketplus,Liga Ex Tabancura,,2026-07-08,10:00:00,2027-07-02,Futbolito UC,Las Condes,57000,https://ticketplus.cl/events/liga-ex-tabancura
MUT — Mercado Urbano Tobalaba,Portafolio – Moda 2026,,2026-07-10,,2026-09-10,"MUT, Piso 1: La Calle — Calle Roger de Flor",Providencia,0,https://mut.cl/es/evento/portafolio-moda-2026/
Ticketplus,FANTASMA DEL UNIVERSO,,2026-07-11,,2026-08-29,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/fantasma-del-universo-2025
Ticketplus,MISIÓN SISTEMA SOLAR,,2026-07-11,,2026-08-29,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/mision-sistema-solar
Ticketplus,ÓRBITA SONORA 1: RADIOHEAD - IN RAINBOWS,,2026-07-11,,2026-08-29,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/orbita-sonora-radiohead-in-rainbows
Ticketplus,ÓRBITA SONORA 2: DAFT PUNK - DISCOVERY,,2026-07-11,,2026-08-30,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/orbita-sonora-daft-punk-discovery
Ticketplus,DE LA TIERRA AL UNIVERSO,,2026-07-12,,2026-08-30,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/de-la-tierra-al-universo
Ticketplus,MISTERIOS DE TU CEREBRO,,2026-07-12,,2026-08-30,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/misterios-de-tu-cerebro
Ticketplus,ÓRBITA SONORA 3: HANS ZIMMER - INTERSTELLAR,,2026-07-12,,2026-08-30,Planetario Huechuraba,Huechuraba,2000,https://ticketplus.cl/events/orbita-sonora-3-hans-zimmer-interstellar
Ticketplus,La cronología del agua de Kristen Stewart en SALA K,,2026-07-24,,2026-08-30,Sala K U Mayor,Santiago,0,https://ticketplus.cl/events/la-cronologia-del-agua-de-kristen-stewart-en-sala-k
Ticketplus,Spiderman,,2026-07-25,,2026-08-25,Sala Nemesio,La Reina,3500,https://ticketplus.cl/events/spiderman
Ticketplus,Blood Simple de Joel Coen en SALA K,,2026-07-28,,2026-09-27,Sala K U Mayor,Santiago,2200,https://ticketplus.cl/events/blood-simple-de-joel-coen-en-sala-k
Ticketplus,Brazil de Terry Gilliam en SALA K,,2026-07-28,,2026-09-27,Sala K U Mayor,Santiago,0,https://ticketplus.cl/events/brazil-de-terry-gilliam-en-sala-k
Ticketplus,La mosca de David Cronenberg en SALA K,,2026-07-28,,2026-09-27,Sala K U Mayor,Santiago,0,https://ticketplus.cl/events/la-mosca-de-david-cronenberg-en-sala-k
Ticketplus,Robocop de Paul Veroheven en SALA K,,2026-07-28,,2026-09-27,Sala K U Mayor,Santiago,2200,https://ticketplus.cl/events/robocop-de-paul-veroheven-en-sala-k
Ticketplus,The Thing de John Carpenter en SALA K,,2026-07-28,,2026-09-27,Sala K U Mayor,Santiago,0,https://ticketplus.cl/events/en-sala-k
Ticketplus,El Gran Viaje,,2026-07-29,,2026-08-23,MATUCANA 100 / CINE,Estación Central,3200,https://ticketplus.cl/events/el-gran-viaje
Ticketplus,"Adolescencia, sexo y muerte en campamento Miasma de Jane Schoenbrun en SALA K",,2026-07-30,,2026-09-27,Sala K U Mayor,Santiago,2200,https://ticketplus.cl/events/adolescencia-sexo-y-muerte-en-campamento-miasma-de-jane-schoenbrun-en-sala-k
Ticketplus,PA$$$TA(YO)BA$$$E!!!!,,2026-07-31,,2026-08-22,Teatro ICTUS,Santiago,6480,https://ticketplus.cl/events/pa-ta-yo-ba-e-2026-07-31-20-00-00-0400
MUT — Mercado Urbano Tobalaba,Actividades librería Azafrán,,2026-08-01,,2026-08-31,MUT — Mercado Urbano Tobalaba,Providencia,,https://mut.cl/es/ver-y-hacer/
MUT — Mercado Urbano Tobalaba,Exposición Maratón de Fotografía,exposición,2026-08-01,,2026-08-31,"MUT, Piso -3: La Estación",Providencia,,https://mut.cl/es/evento/exposicion-maraton-de-fotografia/
MUT — Mercado Urbano Tobalaba,Mes de la fotografía,,2026-08-01,,2026-08-31,MUT — Mercado Urbano Tobalaba,Providencia,,https://mut.cl/es/evento/mes-de-la-fotografia/
Ticketplus,El final de la calle Oak de David Robert Mitchell en SALA K,,2026-08-04,,2026-08-29,Sala K U Mayor,Santiago,2200,https://ticketplus.cl/events/El-final-de-la-calle-Oak-en-SALA-K
Ticketplus,“NO SÉ. BECKETT”,,2026-08-05,,2026-08-29,Teatro Nacional Chileno,Santiago,5300,https://ticketplus.cl/events/no-se-beckett
Ticketplus,Taller de Tango Agosto,,2026-08-06,19:00:00,2026-08-27,TEATRO CACHAFAZ,Ñuñoa,8800,https://ticketplus.cl/events/taller-de-tango-agosto-2026-08-06-19-00-00-0400
Ticketplus,Taller de Impro Agosto,,2026-08-06,19:30:00,2026-08-28,TEATRO CACHAFAZ,Ñuñoa,8800,https://ticketplus.cl/events/taller-de-impro-agosto-2026-08-06-19-30-00-0400
