cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
MUVIX Cinema,Papi Ricky: La película,2026-08-31,14:30,2D,,109,,,https://muvix.cl/Browsing,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",,COMEDIA,Sebastián Schindel
MUVIX Cinema,Spider-Man: Un Nuevo Día,2026-08-31,15:00,2D,doblada,149,,,https://muvix.cl/Browsing,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",,ACCION,Destin Daniel Cretton
MUVIX Cinema,La noche del demonio: Están entre nosotros,2026-08-31,15:10,2D,doblada,111,,,https://muvix.cl/Browsing,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",,TERROR,Jacob Chase
MUVIX Cinema,La Guerra de los Últimos,2026-08-31,15:45,2D,doblada,118,,,https://muvix.cl/Browsing,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,Spider-Man: Un Nuevo Día,2026-08-31,16:00,2D,doblada,149,,,https://muvix.cl/Browsing,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",,ACCION,Destin Daniel Cretton
MUVIX Cinema,La Odisea,2026-08-31,16:15,2D,doblada,177,,,https://muvix.cl/Browsing,"La película lleva la saga fundamental de Homero y estrena en cines en julio de 2026. La Odisea es protagonizada por Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson y Lupita Nyong'o con Zendaya y Charlize Theron.",,ACCION,Christopher Nolan
MUVIX Cinema,Coyote vs ACME,2026-08-31,16:25,2D,doblada,106,,,https://muvix.cl/Browsing,"Después de décadas fallando en atrapar al Correcaminos, el Coyote decide hacer lo impensado: demandar a ACME, la compañía responsable de todos los productos defectuosos que arruinaron sus planes. En el juicio más absurdo de la historia, la comedia y la animación se mezclan en una batalla legal que podría cambiar el destino del desierto… para siempre.",,COMEDIA,Dave Green
MUVIX Cinema,Papi Ricky: La película,2026-08-31,17:00,2D,,109,,,https://muvix.cl/Browsing,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",,COMEDIA,Sebastián Schindel
MUVIX Cinema,Spider-Man: Un Nuevo Día,2026-08-31,17:15,3D,doblada,149,,,https://muvix.cl/Browsing,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",,ACCION,Destin Daniel Cretton
MUVIX Cinema,La Guerra de los Últimos,2026-08-31,17:40,2D,doblada,118,,,https://muvix.cl/Browsing,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,Spider-Man: Un Nuevo Día,2026-08-31,18:15,2D,doblada,149,,,https://muvix.cl/Browsing,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",,ACCION,Destin Daniel Cretton
MUVIX Cinema,Papi Ricky: La película,2026-08-31,18:30,2D,,109,,,https://muvix.cl/Browsing,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",,COMEDIA,Sebastián Schindel
