banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url,tarjeta,condiciones
BancoEstado,Bar Porfirio,,,,,,todos los días,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar locales y condiciones en la fuente oficial."
BancoEstado,Psiquis Bar,,,,,,todos los días,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar locales y condiciones en la fuente oficial."
BancoEstado,Londres 45,,,,,,todos los días,50% descuento,,,,bar,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar locales y condiciones en la fuente oficial."
BancoEstado,Gorilas,,,,,,todos los días,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Disponible en Región Metropolitana según la fuente oficial; revisar locales adheridos."
BancoEstado,Dimoe Restobar,,,,,,todos los días excepto lunes,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,El Valenciano,,,,,,detalle días según sucursal,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Días y locales dependen de la sucursal; revisar fuente oficial."
BancoEstado,Embarcadero 41,,,,,,lunes y miércoles,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Distrito 04,,,,,,lunes y miércoles,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Distrito Garden,,,,,,lunes y miércoles,50% descuento,,,,restaurantes,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
BancoEstado,Chicken International,,,,,,lunes y martes,50% descuento,,,,comida_rapida,https://www.bancoestado.cl/content/bancoestado-public/cl/es/home/home/todosuma---bancoestado-personas/un-mes-de-sabores---bancoestado-personas.html#sabores,Tarjeta de Crédito Visa BancoEstado,"Beneficio publicado para Región Metropolitana; revisar condiciones en la fuente oficial."
