cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-01,20:30,,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-01,19:25,,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Papi Ricky: La película,2026-09-01,21:40,,,93,TE7,https://tickets-static-content.cinepolis.com/pimcore/21450/assets/Chile/Tickets/Movies/PapiRickyLaPelicula/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Harry Potter y la piedra filosofal,2026-09-01,19:00,,doblada,166,TE7,https://tickets-static-content.cinepolis.com/pimcore/21310/assets/Chile/Tickets/Movies/HarryPotterPiedraFilosofal/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,La Guerra de los Últimos,2026-09-01,20:45,,subtitulada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20625/assets/Chile/Tickets/Movies/LaGuerraDeLosUltimos/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-01,20:20,,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,La noche del demonio: Están entre nosotros,2026-09-01,22:35,,doblada,105,14,https://tickets-static-content.cinepolis.com/pimcore/19801/assets/Chile/Tickets/Movies/LaNocheDelDemonioEstaEntreNosotros/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,19:10,,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,21:00,,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,21:30,,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Spider-Man: Un Nuevo Día,2026-09-01,22:10,,doblada,144,TE7,https://tickets-static-content.cinepolis.com/pimcore/19604/assets/Chile/Tickets/Movies/SpiderManUnNuevoDia_copy/Es/SMBND_720x1022_2/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,La Odisea,2026-09-01,19:15,,subtitulada,172,14,https://tickets-static-content.cinepolis.com/pimcore/18518/assets/Chile/Tickets/Movies/LaOdisea/Es/720x1022_poster_La_odisea_copia_2__1/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,El Final De La Calle Oak,2026-09-01,22:45,,doblada,100,14,https://tickets-static-content.cinepolis.com/pimcore/20089/assets/Chile/Tickets/Movies/ElFinalDeLaCalleOak_copy/Es/P_720X1022_5_copy/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Sagrado corazón,2026-09-01,22:20,,doblada,92,TE7,https://tickets-static-content.cinepolis.com/pimcore/21449/assets/Chile/Tickets/Movies/SagradoCorazon/Es/720x1022_19/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
Cinépolis Arauco Maipú,Coyote vs ACME,2026-09-02,11:00,,doblada,105,TE7,https://tickets-static-content.cinepolis.com/pimcore/19803/assets/Chile/Tickets/Movies/CoyoteVSAcme/Es/720x1022_24/resource.jpg,https://cinepolis.com/cl?cinema=cinepolis-arauco-maipu-santiago-poniente-y-norte&selected=cinepolis-arauco-maipu-santiago-poniente-y-norte,,,,
