cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
MUVIX Cinema,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,19:30,2D,doblada,111,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000938?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000938,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,Jacob Chase
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-01,19:30,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,19:45,2D,doblada,111,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000938?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000938,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,Jacob Chase
MUVIX Cinema,LA ODISEA,2026-09-01,19:50,2D,doblada,177,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000913?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000913,"La película lleva la saga fundamental de Homero y estrena en cines en julio de 2026. La Odisea es protagonizada por Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson y Lupita Nyong'o con Zendaya y Charlize Theron. La Odisea es producida por Emma Thomas y Christopher Nolan para su compañia, Syncopy. El productor ejecutivo es Thomas Hayslip.",https://www.youtube.com/watch?v=PYt3vLN_bDY,ACCION,Christopher Nolan
MUVIX Cinema,HARRY POTTER Y LA PIEDRA FILOSOFAL [2001],2026-09-01,20:15,2D,subtitulada,171,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000080?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000080,"Harry Potter y la Piedra Filosofal: Un niño huérfano se inscribe en una escuela de magia y hechicería, donde aprende la verdad sobre sí mismo, su familia y el terrible mal que acecha al mundo mágico.",,AVENTURA,Chris Columbus
MUVIX Cinema,HARRY POTTER Y LA PIEDRA FILOSOFAL [2001],2026-09-01,20:25,2D,subtitulada,171,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000080?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000080,"Harry Potter y la Piedra Filosofal: Un niño huérfano se inscribe en una escuela de magia y hechicería, donde aprende la verdad sobre sí mismo, su familia y el terrible mal que acecha al mundo mágico.",,AVENTURA,Chris Columbus
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-01,20:30,3D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA ODISEA,2026-09-01,20:40,2D,doblada,177,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000913?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000913,"La película lleva la saga fundamental de Homero y estrena en cines en julio de 2026. La Odisea es protagonizada por Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson y Lupita Nyong'o con Zendaya y Charlize Theron. La Odisea es producida por Emma Thomas y Christopher Nolan para su compañia, Syncopy. El productor ejecutivo es Thomas Hayslip.",https://www.youtube.com/watch?v=PYt3vLN_bDY,ACCION,Christopher Nolan
MUVIX Cinema,PAPI RICKY: LA PELÍCULA,2026-09-01,21:00,2D,,109,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000974?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000974,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/watch?v=uKGHglG2nk0,COMEDIA,Sebastián Schindel
MUVIX Cinema,LA GUERRA DE LOS ÚLTIMOS,2026-09-01,21:15,2D,subtitulada,118,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000945?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000945,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",https://www.youtube.com/watch?v=2gMfB7xJs60,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,PAPI RICKY: LA PELÍCULA,2026-09-01,21:15,2D,,109,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000974?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000974,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/watch?v=uKGHglG2nk0,COMEDIA,Sebastián Schindel
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-01,21:30,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA GUERRA DE LOS ÚLTIMOS,2026-09-01,21:35,2D,subtitulada,118,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000945?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000945,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",https://www.youtube.com/watch?v=2gMfB7xJs60,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-01,21:45,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,22:00,2D,doblada,111,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000938?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000938,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,Jacob Chase
MUVIX Cinema,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-01,22:15,2D,doblada,111,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000938?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000938,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,Jacob Chase
MUVIX Cinema,COYOTE VS ACME,2026-09-02,13:10,2D,doblada,106,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000932?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000932,"Después de décadas fallando en atrapar al Correcaminos, el Coyote decide hacer lo impensado: demandar a ACME, la compañía responsable de todos los productos defectuosos que arruinaron sus planes. En el juicio más absurdo de la historia, la comedia y la animación se mezclan en una batalla legal que podría cambiar el destino del desierto… para siempre.",https://www.youtube.com/watch?v=V_ueAlyvn6A,COMEDIA,Dave Green
MUVIX Cinema,LA GUERRA DE LOS ÚLTIMOS,2026-09-02,13:35,2D,doblada,118,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000945?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000945,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",https://www.youtube.com/watch?v=2gMfB7xJs60,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,HARRY POTTER Y LA PIEDRA FILOSOFAL [2001],2026-09-02,13:45,2D,doblada,171,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000080?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000080,"Harry Potter y la Piedra Filosofal: Un niño huérfano se inscribe en una escuela de magia y hechicería, donde aprende la verdad sobre sí mismo, su familia y el terrible mal que acecha al mundo mágico.",,AVENTURA,Chris Columbus
MUVIX Cinema,PAPI RICKY: LA PELÍCULA,2026-09-02,14:00,2D,,109,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000974?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000974,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/watch?v=uKGHglG2nk0,COMEDIA,Sebastián Schindel
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-02,14:20,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,PAPI RICKY: LA PELÍCULA,2026-09-02,14:30,2D,,109,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000974?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000974,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hipster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/watch?v=uKGHglG2nk0,COMEDIA,Sebastián Schindel
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-02,15:00,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA NOCHE DEL DEMONIO: ESTÁN ENTRE NOSOTROS,2026-09-02,15:10,2D,doblada,111,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000938?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000938,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/watch?v=fuxeEUqCNac,TERROR,Jacob Chase
MUVIX Cinema,LA ODISEA,2026-09-02,15:10,2D,doblada,177,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000913?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000913,"La película lleva la saga fundamental de Homero y estrena en cines en julio de 2026. La Odisea es protagonizada por Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson y Lupita Nyong'o con Zendaya y Charlize Theron. La Odisea es producida por Emma Thomas y Christopher Nolan para su compañia, Syncopy. El productor ejecutivo es Thomas Hayslip.",https://www.youtube.com/watch?v=PYt3vLN_bDY,ACCION,Christopher Nolan
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-02,15:20,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,COYOTE VS ACME,2026-09-02,15:35,2D,doblada,106,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000932?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000932,"Después de décadas fallando en atrapar al Correcaminos, el Coyote decide hacer lo impensado: demandar a ACME, la compañía responsable de todos los productos defectuosos que arruinaron sus planes. En el juicio más absurdo de la historia, la comedia y la animación se mezclan en una batalla legal que podría cambiar el destino del desierto… para siempre.",https://www.youtube.com/watch?v=V_ueAlyvn6A,COMEDIA,Dave Green
MUVIX Cinema,LA GUERRA DE LOS ÚLTIMOS,2026-09-02,15:45,2D,doblada,118,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000945?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000945,"En un mundo postapocalíptico, un virus aniquila a la humanidad. Los supervivientes se enfrentan a unos carroñeros errantes llamados Segadores. El protagonista, Hig, un piloto, sobrevivió a la gripe pero perdió a su mujer.",https://www.youtube.com/watch?v=2gMfB7xJs60,CIENCIA FICCION,Ridley Scott
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-02,16:00,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,LA ODISEA,2026-09-02,16:15,2D,doblada,177,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000913?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000913,"La película lleva la saga fundamental de Homero y estrena en cines en julio de 2026. La Odisea es protagonizada por Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson y Lupita Nyong'o con Zendaya y Charlize Theron. La Odisea es producida por Emma Thomas y Christopher Nolan para su compañia, Syncopy. El productor ejecutivo es Thomas Hayslip.",https://www.youtube.com/watch?v=PYt3vLN_bDY,ACCION,Christopher Nolan
MUVIX Cinema,SPIDER-MAN: UN NUEVO DÍA,2026-09-02,16:20,2D,doblada,149,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000921?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000921,"Tras el Día del Juicio Final, Peter Parker intenta centrarse en la universidad y abandonar a Spider-Man. Cuando una nueva amenaza pone en peligro a sus amigos, debe romper su promesa y volver al traje.",https://www.youtube.com/watch?v=pWJQSKn28jk,ACCION,Destin Daniel Cretton
MUVIX Cinema,COYOTE VS ACME,2026-09-02,16:25,2D,doblada,106,,https://muvix.cl/CDN/media/entity/get/FilmPosterGraphic/HO00000932?referenceScheme=HeadOffice&allowPlaceHolder=true,https://muvix.cl/Browsing/Movies/Details/h-HO00000932,"Después de décadas fallando en atrapar al Correcaminos, el Coyote decide hacer lo impensado: demandar a ACME, la compañía responsable de todos los productos defectuosos que arruinaron sus planes. En el juicio más absurdo de la historia, la comedia y la animación se mezclan en una batalla legal que podría cambiar el destino del desierto… para siempre.",https://www.youtube.com/watch?v=V_ueAlyvn6A,COMEDIA,Dave Green
