banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Santander,Otto cocina,Santa Beatriz 203,Providencia,,,https://banco.santander.cl/uploads/000/061/619/db46cd42-543c-40a0-9ad0-4ee20ca8df44/original/Otto_1_.png,jueves,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/otto-cocina
Santander,Rubaiyat,Av. Nueva Costanera 4031,Vitacura,,,https://banco.santander.cl/uploads/000/060/896/0757f68c-8c8b-4e0c-ac06-6b4286d25863/original/Extras_LOGO_RUBA_500X800_4.png,,30% dcto. en exclusiva experiencia gastronómica Rubaiyat,,2026-07-28,,restaurantes,https://banco.santander.cl/beneficios/promociones/rubaiyat
Santander,Domani,,Las Condes,,,https://banco.santander.cl/uploads/000/060/224/9e6a00a5-3776-478d-88ba-96e5b081f8f0/original/Domani_1_.jpg,lunes,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/domani
Santander,Domani,,Providencia,,,https://banco.santander.cl/uploads/000/060/224/9e6a00a5-3776-478d-88ba-96e5b081f8f0/original/Domani_1_.jpg,lunes,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/domani
Santander,Majka,Principe de Gales 7102,La Reina,,,https://banco.santander.cl/uploads/000/059/715/3b231c91-ad52-4dac-bbf8-21e494cb8e38/original/logo_majka_1.png,jueves,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/majka
Santander,Ramblas,Manuel Montt 370,Providencia,,,https://banco.santander.cl/uploads/000/059/710/b8bece13-28c2-41df-9a31-05675637ebc2/original/LOGOTIPO_500X800px.jpg,martes,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/ramblas
Santander,Bar TPM,Av. Las Condes 6766,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Manuel Montt 412,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Av. Tobalaba 455,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Av. Italia 1226,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Av. Pedro de Valdivia 1738,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Humberto Trucco 37,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
Santander,Bar TPM,Paula Jaraquemada 19,,,,https://banco.santander.cl/uploads/000/059/236/42b0a394-f6a7-4d84-9ba3-6ca0b58c6a15/original/TPM_87_.png,miercoles,30% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/bar-tpm
