banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Banco Falabella,Sicily Pizzería,Alonso de Córdova 4226,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/3GIEqgG9aptadQL1ZhaH1v/626f075b3f981a95ee5bd2a97ec2b703/Logos_Cards_Sitio_Beneficios_Sicily.png,lunes,Hasta 40%,,2026-09-30,https://www.siciliapizzas.cl/pedir,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/sicily-pizzeria
Banco Falabella,Pristino,El Coihue 3807,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/4DNu48Wf5rtNORH30dkrnf/025491cf80a43efbc56f48b95a72107a/Cards_2_Logo_Web_Pristino.webp,martes,Hasta 40%,,2026-09-30,https://www.pristinorestaurante.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/pristino
Banco Falabella,Bistro Cascade,Costanera Sur S.J.E. de Balaguer 6400,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/7yViBtCQ9BfxlmacfVrJOl/c13d49811ac71eea461531f8e0a09806/Logos_Cards_Sitio_Beneficios_Bistro_Cascade.png,martes,Hasta 40%,,2026-09-30,https://lacascade.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/borderio-bistro-cascade
Banco Falabella,Kechua,Costanera Sur S.J.E. de Balaguer 6400,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/1V5GfllQlfxRg4bRtf5q9x/b868cc6115b0d8281aa2deb5bb584e47/Logos_logo_Kechua.webp,martes,Hasta 40%,,2026-09-30,https://kechuarestaurantes.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/borderio-kechua
Banco Falabella,Krossbar,Costanera Sur S.J.E. de Balaguer 6400,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/5qY2I1tWjpiqsnroLPFXgQ/53612aaf42e38162157dc8cbadb493d1/DisenÌ_o_sin_tiÌ_tulo-96.png,martes,Hasta 40%,,2026-09-30,https://www.kross.cl/krossbar,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/martes-de-borderio-krossbar
Banco Falabella,La Tabla,Costanera Sur S.J.E. de Balaguer 6400,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/2zx4CRxW5BYyAOVvoigEar/deb9e2feefd9c3db99aff0ee3b592fb5/Logos_Cards_Sitio_Beneficios_La_Tabla.png,martes,Hasta 40%,,2026-09-30,https://www.latablarestaurant.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/la-tabla-borderio
Banco Falabella,Nelí,,,,,https://images.ctfassets.net/p6eyia4djstu/4ozBVmwYTrkc7C6MEUWUiV/8f58054aeadca0bb65c7cb61f9181530/Logos_Cards_Sitio_Beneficios_Neli.png,miercoles,Hasta 40%,,2026-09-30,https://www.neli.cl/inicio,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/neli
Banco Falabella,Tropera Drugstore,,,,,https://images.ctfassets.net/p6eyia4djstu/2OeEGyp1cvgjVOO5vtgdYF/5872b1288721fb98a0f7d35069672c37/Cards_Beneficios_Agosto_LOGO_Tropera.webp,miercoles,Hasta 40%,,2026-09-30,,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/tropera-drugstore
Banco Falabella,Local Burger,,,,,https://images.ctfassets.net/p6eyia4djstu/1Ts2SIi8105IlLzOYBovhl/7c70aa58adbb64a3e81e3b2d7f50e0ed/Cards_2_LOGO_Web_Local.webp,jueves,Hasta 40%,,2026-09-30,https://www.localburger.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/local-burger
Banco Falabella,Zulu,Alonso de Córdova 2337,Vitacura,,,https://images.ctfassets.net/p6eyia4djstu/7ocxt2bI7ykTvs4MKYbiGV/7ff33615df258a2308ed4fe3157ce163/Cards_LOGO_Web_Zulu.webp,sabado,Hasta 40%,,2026-09-30,,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/zulu
Banco Falabella,ROCOTO,,,,,https://images.ctfassets.net/p6eyia4djstu/7nDqP7hXy7nfaUYDgtuUyh/79282a04ee828740af1a810da45bf3c8/rocoto_LOGO_CASA_ROCOTO.webp,sabado,Hasta 40%,,2026-09-30,https://rocoto.cl/sucursales,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/rocoto
Banco Falabella,Petit,,,,,https://images.ctfassets.net/p6eyia4djstu/10L2RTR913Rv45NUsG3nyg/c58749b5b3a73a5d1ce28d009e7c60aa/Cards_Logo_Web_Panchita.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,40%,,2026-09-30,https://www.instagram.com/petitcafeteriacl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/petit
Banco Falabella,Udon,Alto Las Condes,,,,https://images.ctfassets.net/p6eyia4djstu/6lPkozdSGkjOG35duii4Tz/c9a3804276e5e6727e99cd93838758e9/Cards_Enero_LOGO_Udoâ__Ã_n.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.udon.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/udon
Banco Falabella,Udon,Portal La Dehesa,,,,https://images.ctfassets.net/p6eyia4djstu/6lPkozdSGkjOG35duii4Tz/c9a3804276e5e6727e99cd93838758e9/Cards_Enero_LOGO_Udoâ__Ã_n.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.udon.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/udon
Banco Falabella,Udon,Costanera Center,,,,https://images.ctfassets.net/p6eyia4djstu/6lPkozdSGkjOG35duii4Tz/c9a3804276e5e6727e99cd93838758e9/Cards_Enero_LOGO_Udoâ__Ã_n.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.udon.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/udon
Banco Falabella,Coppelia,,,,,https://images.ctfassets.net/p6eyia4djstu/6b5cNWJNX1vTuywNFaY1HQ/9f10b9bf1a6c5a653ca90f4495981e93/Cards_Logo_Web_Coppelia.webp,lunes,40%,,2026-09-30,https://coppelia.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/coppelia
Banco Falabella,La Maestranza,,,,,https://images.ctfassets.net/p6eyia4djstu/CdDKQiWafmh1hPBWnvpEW/f5857183788ec6520971afc7c36907e7/Logos_Cards_Sitio_Beneficios_La_Maestranza.png,lunes;miercoles;viernes,Hasta 40%,,2026-09-30,https://www.lamaestranzarestaurant.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/la-maestranza
Banco Falabella,Kento Gourmet,,,,,https://images.ctfassets.net/p6eyia4djstu/61dAfvUk9DbS2Nut2NdlJc/dbd457276d1b5fb17893c11f80cc19ac/Cards_Noviembre_2_Logo_App_Kento.png,lunes;martes;miercoles;jueves,Hasta 40%,,2026-09-30,https://www.kento.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/kento-gourmet
Banco Falabella,Frida Kahlo,,,,,https://images.ctfassets.net/p6eyia4djstu/60nyBCZkoq3IDEmMC6l7fN/a7e8bc2abd976cca9d4b0942d1522035/Logos_logo_Frida.webp,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://fridakahlorestaurante.cl/frida-kahlo-restaurant/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/frida-kahlo
Banco Falabella,Vapiano,,,,,https://images.ctfassets.net/p6eyia4djstu/5DzQEcJrX8TMqj9ZN77MhX/49b372657232f88a62ff8def7712886d/Logos_Cards_Sitio_Beneficios_Vapiano.png,lunes;miercoles;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://www.vapiano-pedidos.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/vapiano
Banco Falabella,Muu grill,Costanera Center,,,,https://images.ctfassets.net/p6eyia4djstu/1MkiQ0yx5QfpHrLS4zVuW4/6a58e4110da7c58d864028e01be4b746/Logos_Cards_Sitio_Beneficios_Muu_Grill.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://muugrill.chefcloud.dotsolutions.cl/muu-grill,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-muu-grill
Banco Falabella,Muu grill,AV Isidora Goyenechea 3000,Las Condes,,,https://images.ctfassets.net/p6eyia4djstu/1MkiQ0yx5QfpHrLS4zVuW4/6a58e4110da7c58d864028e01be4b746/Logos_Cards_Sitio_Beneficios_Muu_Grill.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://muugrill.chefcloud.dotsolutions.cl/muu-grill,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-muu-grill
Banco Falabella,Muu grill,Mercado Bulnes,,,,https://images.ctfassets.net/p6eyia4djstu/1MkiQ0yx5QfpHrLS4zVuW4/6a58e4110da7c58d864028e01be4b746/Logos_Cards_Sitio_Beneficios_Muu_Grill.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://muugrill.chefcloud.dotsolutions.cl/muu-grill,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-muu-grill
