banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Bci,Marriott,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Marriott_552a64cb_15-32_4.png,viernes,50% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/viernes-las-condes-desde-las-16.00-hrs-otl0ys8
Bci,Marriott,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Marriott_fc38f356_20-49_4.png,jueves,40% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/ac-kitchen-hotel-santiago-cenco-costanera-x32q24n
Bci,Güeros,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/G%C3%BCeros_e8523d35_13-26_4.png,viernes,40% descuento,40000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/autentica-cocina-mexicana-para-disfrutar-30hr9m
Bci,Marriott,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Marriott_ec9a042b_20-54_4.png,jueves,50% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/ac-kitchen-hotel-santiago-cenco-costanera-8kxn8d9
Bci,Allería,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/%C2%A1Aller%C3%ADa-tiene-un-po_79ba90e0_13-55_4.png,martes,,,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-este-beneficio-exclusivo-para-ti-los-martes-de-julio-8nbtkho
Bci,Tamango,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/%C2%A1Tamango-tiene-una-c_9885e930_20-56_4.png,martes,,,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-este-beneficio-exclusivo-para-ti-los-martes-de-julio-hqvrrzu
Bci,KFC,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/KFC_4916e9db_16-16_4.png,lunes,30% descuento,,2026-12-31,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-lunes-en-combo-chicken-share-alitas-us5tjzf
Bci,China Wok,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/China-Wok_151368ce_14-17_4.png,miercoles,30% descuento,,2026-12-31,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-miercoles-en-combo-wok-1-pollo-tereyaki-kr43pym
Bci,Wendys,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Wendys_b214ae5b_17-44_4.png,miercoles,30% descuento,,2026-12-31,,restaurantes;descuentos;antojos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-miercoles-en-combo-boconator-doble-zqw9icg
Bci,Pastamore,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Pastamore_b1230b38_20-28_4.png,martes,20% descuento,20000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-martes-2vsvst
Bci,Danubio Azul,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Danubio-Azul_bb8d5c10_20-49_4.png,miercoles,40% descuento,40000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/miercoles-las-condes-0e21ts
Bci,China 365,,Lo Barnechea,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/China-365_4d3323ba_22-27_4.png,lunes;miercoles;jueves;viernes,20% descuento,,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/lunes-miercoles-jueves-y-viernes-6uyqhar
Bci,Danubio Azul,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Danubio-Azul_8333ba6d_20-48_4.png,lunes;martes;miercoles,20% descuento,40000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/una-experiencia-oriental-en-las-condes-0mk5lde
Bci,Punto País,,Ñuñoa,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Punto-Pa%C3%ADs_2cbc21a5_14-28_4.png,martes;miercoles,20% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-de-la-mejor-comida-en-nunoa-4u5hyp
Bci,Sanguchería Gorilas,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Sangucher%C3%ADa-Gorilas_081879d1_15-22_4.png,lunes;martes,20% descuento,30000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-los-lunes-y-los-martes-ncif6oh
Bci,Starburger,,Pudahuel,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Starburger_157fe7bb_20-51_4.png,,20% descuento,20000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-dias-para-disfrutar-85s0l4
Bci,Zía Bistró & Café,,Lo Barnechea,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Z%C3%ADa-Bistr%C3%B3-%26-Caf%C3%A9_807ffc2c_16-10_4.png,lunes;martes;miercoles,20% descuento,20000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/lunes-martes-y-miercoles-lo-barnechea-dziabg
Bci,Zulu Kitchen & Bar,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Zulu-Kitchen-%26-Bar_ad6dd861_21-56_4.png,lunes;martes;miercoles;jueves;viernes,20% descuento,20000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/disfruta-de-este-descuento-en-alonso-de-cordova-ys6a3t
Bci,Kantu Thai & Vietnamesse Food,,Providencia,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Kantu-Thai-%26-Vietnam_d380b058_22-18_4.png,lunes;martes;miercoles;jueves,20% descuento,30000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/comida-thai-y-vietnamita-en-providencia-1dbo27m
Bci,Vértigo,,Vitacura,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/V%C3%A9rtigo_21ffc02e_17-20_4.png,jueves,20% descuento,,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/20-por-ciento-de-descuento-los-jueves-en-vitacura-pvya5w
Bci,Ari Nikkei,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Ari-Nikkei_fb7112ad_16-2_4.png,martes,40% descuento,40000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/los-martes-en-paseo-los-dominicos-y-vivo-los-trapenses-x0o2gts
Bci,Ari Nikkei,,Lo Barnechea,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Ari-Nikkei_fb7112ad_16-2_4.png,martes,40% descuento,40000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/los-martes-en-paseo-los-dominicos-y-vivo-los-trapenses-x0o2gts
Bci,Marriott,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Marriott_5eda47e0_17-53_4.png,sabado,50% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/cafe-med-sabado-las-condes-desde-las-13.00-hasta-las-16.00-hrs-2b61eqo
