banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Entel,Papa Johns,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/papa-johns.png,lunes;martes;miercoles;jueves;viernes,Consigue tu promo imperdible con el Club Entel.,,2026-12-31,,,https://www.entel.cl/beneficios/descuentos/papa-johns
Entel,Starbucks,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/starbucks.png,martes;miercoles;viernes,Nuevos descuentos para seguir disfrutando del mejor café.,,2026-12-31,,,https://www.entel.cl/beneficios/descuentos/starbucks
Entel,Cinemark,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/cinemark-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Descuentos en entradas y confitería todos los días.,,,,,https://www.entel.cl/beneficios/descuentos/cine/cinemark-presencial
Entel,Dunkin´,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/dunkin.png,jueves,Obtén un 30% dcto. todos los jueves en el total de tu boleta.,,2026-12-31,,,https://www.entel.cl/beneficios/descuentos/dunkin
Entel,Burger King,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/burger-king-2.png,miercoles,25% dcto los días miércoles,15000,,,Comida,https://www.entel.cl/beneficios/descuentos/burger-king
Entel,Mr. Pretzels,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/mr-pretzels.png,jueves,20% descuento en tienda,,2026-04-30,,Comida,https://www.entel.cl/beneficios/descuentos/mr-pretzels
Entel,Boost,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/boost.png,jueves,20% descuento en tienda,,2026-04-30,,Comida,https://www.entel.cl/beneficios/descuentos/boost
Entel,Barrio Chick'en,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/barrio-chicken.png,lunes,30% dcto. los lunes en todo el menú,,2026-06-30,,Comida,https://www.entel.cl/beneficios/descuentos/barrio-chicken
Entel,Easycancha,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/easycancha-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,3 meses de prueba gratis con suscripción PRIME,,2026-03-31,,Deportes;Sostenibilidad,https://www.entel.cl/beneficios/descuentos/easycancha
Entel,Parques Outlife,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/outlife.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Dctos. en Parques RKF El Durazno y Outlife Chamisero,,,,Deportes;Sostenibilidad,https://www.entel.cl/beneficios/descuentos/parques-outlife
Entel,Escuela de Surf Maintencillo,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/Escuela-de-Surf-Maitencillo.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Dcto. en clases y arriendo de equipo,,2026-03-31,,Deportes,https://www.entel.cl/beneficios/descuentos/surf-maitencillo
Entel,Belsport,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/belsport-2.png,,20% de Dcto. en Belsport,,2026-12-31,,Deportes;Tiendas,https://www.entel.cl/beneficios/descuentos/belsport
Entel,Glampi,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/glampi-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Hasta 20% dcto. en Glampi y hoteles, todos los días",,2026-12-30,,Deportes,https://www.entel.cl/beneficios/descuentos/glampi
Entel,Umara Nails,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/umara-nails-2.png,lunes,20% dcto. en manos y pies con esmaltado permanente,,,,Bienestar,https://www.entel.cl/beneficios/descuentos/umara-nails
Entel,Farmacia Fracción,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/farmacia-fraccion.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,10% dcto. Compras online en bioequivalentes.,,2026-03-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/farmacia-fraccion
Entel,Natura,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/natura.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Descuentos todos los días online y presencial,,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/natura
Entel,Farmacia Ahumada,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/farmacia-ahumada-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Descuentos en compras presenciales.,5000,2026-12-31,,Bienestar,https://www.entel.cl/beneficios/descuentos/farmacia-ahumada
Entel,Beauty Plus,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/beauty-plus.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,30% dcto. en todas las compras online.,,2026-12-31,,Bienestar;Tiendas,https://www.entel.cl/beneficios/descuentos/beauty-plus
Entel,Clínica Cumbre,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/clinica-cumbre-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"55% dcto. en odontología, excluye laboratorios",,,,Bienestar,https://www.entel.cl/beneficios/descuentos/clinica-cumbre
Entel,Hands & co,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/hands-and-co-3.png,lunes;martes;miercoles,"Disfruta manicure a $19.990, incluye retiro",,2026-09-01,,Bienestar,https://www.entel.cl/beneficios/descuentos/hands-and-co
Entel,Adidas,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/adidas.png,lunes;martes,20% dcto. en catálogo seleccionado,,2026-06-30,,Tiendas,https://www.entel.cl/beneficios/descuentos/adidas
Entel,Zig-zag,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/zigzag.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,30% dcto. adicional en www.zigzag.cl,,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/zig-zag
Entel,Late,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/late.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Dctos. en productos y recargas de botellones,,,,Tiendas;Sostenibilidad,https://www.entel.cl/beneficios/descuentos/late
Entel,miCoca-Cola.cl,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/coca-cola.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"25% de dcto. en el total de tu boleta, al comprar online",,2026-12-31,,Tiendas,https://www.entel.cl/beneficios/descuentos/cocacola
Entel,Lounge,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/lounge-1.png,domingo,20% dcto. los lunes con el Club Entel,,,,Tiendas,https://www.entel.cl/beneficios/descuentos/lounge
Entel,Ópticas Place Vendôme,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/place-vendome-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Desde 10% de dcto. en anteojos ópticos, de contacto y de sol",,,,Tiendas,https://www.entel.cl/beneficios/descuentos/opticas-place-vendome
Entel,Econópticas,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/econopticas-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Desde 10% de dcto. en anteojos ópticos, de contacto y de sol",,,,Tiendas,https://www.entel.cl/beneficios/descuentos/econopticas
