fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,comuna,precio_min,link_evento
Municipalidad de Providencia,Exposición “Lenguajes del Cobre. Tres narrativas contemporáneas”,exposición,2026-08-01,09:00:00,2026-08-31,Centro Cultural Montecarmelo,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,Exposición fotográfica “Bellavista: Raíces y Recuerdos”,exposición,2026-08-01,09:00:00,2026-08-31,Centro Cultural Montecarmelo,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,Exposición “Tramares. Comunidades textiles para el futuro”,exposición,2026-08-01,09:00:00,2026-08-31,Centro Cultural Montecarmelo,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,"Exposición ""Entre líneas y trazos"". Diálogos de poesía, cuentos y artes visuales",exposición,2026-08-01,09:00:00,2026-08-31,"Biblioteca Municipal, Manuel Montt 101",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Las Condes (talleres),Close to me,,2026-08-06,,2026-09-06,Teatro Municipal de Las Condes,Las Condes,,https://www.lascondes.cl/vive-las-condes/panorama-mensual/
Municipalidad de Providencia,"Exposición ""Espera""",exposición,2026-08-13,09:00:00,2026-08-31,Centro Cultural Montecarmelo,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Universidad Adolfo Ibanez - Eventos,Humanidades: ¿lujo o condición del desarrollo?,,2026-08-25,08:30:00,,Vitacura,Vitacura,,https://www.uai.cl/eventos/gobierno/humanidades-lujo-o-condicion-del-desarrollo
Municipalidad de Providencia,Exposición K2: A 30 Años del Máximo Desafío,exposición,2026-08-25,09:00:00,,"Café Literario Parque Bustamante, Av. General Bustamante altura 50",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,Operativo TRM,,2026-08-25,10:00:00,,Plaza Uruguay,Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Vitacura,Taller Sociolaboral,taller,2026-08-25,10:00:00,,"San Félix 1318, sala 1",Vitacura,,https://vitacura.cl/actividad/taller-sociolaboral-17/
Universidad Adolfo Ibanez - Eventos,"Lanzamiento del libro ""La empresa política""",,2026-08-25,11:30:00,,Peñalolén,Peñalolén,,https://www.uai.cl/eventos/negocios/lanzamiento-del-libro-la-empresa-politica
Centro de Estudios Públicos (CEP),Crecer en campamentos: El drama de un doble vínculo,,2026-08-25,12:00:00,,"Auditorio CEP, Monseñor Sótero Sanz 162",Providencia,0,https://www.cepchile.cl/eventos/crecer-en-campamentos-el-drama-de-un-doble-vinculo/
Municipalidad de Providencia,Taller de chigiri-e para adultos mayores,taller,2026-08-25,12:00:00,,"Biblioteca Bellavista, Constitución 85",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Passline,La Misteriosa Mirada del Flamenco / Centro Arte Alameda,,2026-08-25,14:30:00,,Centro Arte Alameda,Santiago,2000,https://www.passline.com/eventos/la-misteriosa-mirada-del-flamenco-centro-arte-alameda-546241
Municipalidad de Providencia,Filosofía y horror cósmico: Análisis de la primera temporada de True detective,,2026-08-25,16:00:00,,"Biblioteca Municipal, Manuel Montt 101",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,Autorretrato con papel,,2026-08-25,16:00:00,,"Café Literario Parque Balmaceda, Av. Providencia 410",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Municipalidad de Providencia,Club de lectura Bellavista: Los 7 pecados capitales,,2026-08-25,16:30:00,,"Biblioteca Bellavista, Constitución 85",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Passline,Teenage Sex and Death at Camp Miasma / Centro Arte Alameda,,2026-08-25,16:30:00,,Centro Arte Alameda,Santiago,2500,https://www.passline.com/eventos/teenage-sex-and-death-at-camp-miasma-centro-arte-alameda-546329
Municipalidad de Providencia,Inauguración de la Exposición K2: A 30 Años del Máximo Desafío,exposición,2026-08-25,18:00:00,,"Café Literario Parque Bustamante, Av. General Bustamante altura 50",Providencia,0,https://providencia.cl/provi/2026-actividades-de-agosto
Universidad Adolfo Ibanez - Eventos,Diálogo curatorial: El arte contemporáneo como dispositivo de cámara,,2026-08-25,18:30:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/artesliberales/dialogo-curatorial-el-arte-contemporaneo-como-dispositivo-de-camara
