fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,direccion,lat,lon,comuna,precio_min,link_evento
Passline,Internacional Tattoo Masters Fest 2026,,2026-07-02,15:00:00,2026-12-13,Alto San Francisco,San Francisco 75,,,Santiago,7000,https://www.passline.com/eventos/internacional-tattoo-masters-fest-2026
Passline,Julie,teatro,2026-08-19,19:30:00,2026-08-28,Sala 211 - Laboratorio escénico,Santo domingo 711,,,Santiago,2500,https://www.passline.com/eventos/julie
Passline,"OBRA: Si los cerdos no miran al cielo, ¿que hacemos con ellos?",teatro,2026-08-21,20:00:00,2026-08-30,"SALA CLUB DE TEATRO, CHUCRE MANZUR #10",Chucre Manzur #10,,,Providencia,8000,https://www.passline.com/eventos/obra-si-los-cernos-no-miran-al-cielo-que-hacemos-con-ellos
Passline,Elephant / Centro Arte Alameda,,2026-08-25,18:45:00,,Centro Arte Alameda/ Sala Ceina,Arturo Prat 33 (B),,,Santiago,2500,https://www.passline.com/eventos/elephant-centro-arte-alameda
Passline,Volver al futuro / Cine Blondie en Centro Arte Alameda,cine,2026-08-25,20:15:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,2500,https://www.passline.com/eventos/volver-al-futuro-cine-blondie-en-centro-arte-alameda
Passline,Cine Blondie: Volver al Futuro,cine,2026-08-25,20:30:00,,CENTRO ARTE ALAMEDA,Arturo Prat 33,,,Santiago,12000,https://www.passline.com/eventos/cine-blondie-volver-al-futuro
Passline,NOA ★ MARTES 25 AGOSTO ★ Club Siete - Piso 4 Hotel W,fiesta,2026-08-25,22:00:00,2026-08-26,Club Siete,Isidora Goyenechea 3000,,,Las Condes,10000,https://www.passline.com/eventos/noa-martes-25-agosto-club-siete-piso-4-hotel-w
Passline,Matapanki / Centro Arte Alameda,,2026-08-26,15:15:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,2000,https://www.passline.com/eventos/matapanki-centro-arte-alameda-546342
Passline,El final de la Calle Oak / Centro Arte Alameda,cine,2026-08-26,16:45:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,2500,https://www.passline.com/eventos/el-final-de-la-calle-oak-centro-arte-alameda-546334
Passline,Los Tetas Fiesta pregira,musica,2026-08-26,18:00:00,2026-08-27,Vrava Club,Av Presidente Riesco 5330 Local 104,,,Las Condes,30000,https://www.passline.com/eventos/los-tetas-la-despedida
Passline,Cortocircuito: Dirección de Fotografía en Centro Arte Alameda,cine,2026-08-26,18:45:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,1000,https://www.passline.com/eventos/cortocircuito-direccion-de-fotografia-en-centro-arte-alameda
Passline,Demian The Rat Probando Quesito En Santiago !!,,2026-08-26,19:00:00,,Palermo Teatro Bar,José Manuel Infante 1414,,,Providencia,13000,https://www.passline.com/eventos/demian-the-rat-probando-quesito-en-santiago
Passline,Julie,teatro,2026-08-26,19:30:00,,Sala 211 - Laboratorio escénico,Santo domingo 711,,,Santiago,1500,https://www.passline.com/eventos/julie-541506
Passline,PANTHALASSA - Prismas de Navegación,arte,2026-08-26,20:00:00,2026-08-27,Centro Cultural Ceina,,,,Santiago,0,https://www.passline.com/eventos/panthalassa-prismas-de-navegacion
Passline,Sergio Freire en Happy People,teatro,2026-08-26,20:00:00,,Teatro Happy People,Rancagua 395,,,Providencia,10000,https://www.passline.com/eventos/sergio-freire-en-happy-people-546068
Passline,Deportes Recoleta vs OHiggins,,2026-08-26,20:30:00,,Estadio Municipal de La Pintana,Cdad. de México 1589,,,La Pintana,3000,https://www.passline.com/eventos/deportes-recoleta-vs-ohiggins
Passline,Teenage Sex and Death at Camp Miasma / Centro Arte Alameda,cine,2026-08-26,20:45:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,2500,https://www.passline.com/eventos/teenage-sex-and-death-at-camp-miasma-centro-arte-alameda-546330
Passline,Rodrigo Villegas en Rustiko Huechuraba,teatro,2026-08-26,21:00:00,2026-08-27,Rustiko Huehuraba,Av. Pedro Fontova 7853,,,Huechuraba,20000,https://www.passline.com/eventos/rodrigo-villegas-en-rustiko-huechuraba
Passline,HOT CUE ★ MIÉRCOLES 26 AGOSTO ★ Club Siete - Piso 4 Hotel W,,2026-08-26,22:00:00,2026-08-27,Club Siete,Isidora Goyenechea 3000,,,Las Condes,10000,https://www.passline.com/eventos/hot-cue-miercoles-26-agosto-club-siete-piso-4-hotel-w
Passline,FIESTA ELEVEN BESITO EN LA BARRA EN ILLUMINATI ! SHOW EN VIVO SORPRESA #DIVADELPOP,musica,2026-08-26,23:30:00,2026-08-27,Illuminati,Antonia López de Bello 131,,,Recoleta,8000,https://www.passline.com/eventos/elevenmiercoles
Passline,“26 miércoles,,2026-08-26,23:30:00,2026-08-27,FAUSTO,Avenida Santa María 0832,,,Providencia,6000,https://www.passline.com/eventos/26-miercoles-548668
Passline,Teenage Sex and Death at Camp Miasma / Centro Arte Alameda,,2026-08-27,14:30:00,,Centro Arte Alameda,Arturo Prat #33,,,Santiago,2500,https://www.passline.com/eventos/teenage-sex-and-death-at-camp-miasma-centro-arte-alameda-548638
Passline,Sunset Andes Winter | Ago - 4 Edición,,2026-08-27,15:30:00,,El Colorado Centro de Ski,,,,Lo Barnechea,,https://www.passline.com/eventos/sunset-andes-winter-ago-4-edicion
Passline,La Negociación / Centro Arte Alameda,,2026-08-27,16:30:00,,Centro Arte Alameda / Sala CEINA,Arturo Prat 33b,,,Santiago,2500,https://www.passline.com/eventos/la-negociacion-centro-arte-alameda-548645
Passline,Volare - Experiencia gastronómica,,2026-08-27,19:00:00,,Centro parque,Pdte. Riesco 5330,,,Las Condes,79990,https://www.passline.com/eventos/volare-experiencia-gastronomica-524217
Passline,Sigrid y los Claveles / 27 de Agosto,,2026-08-27,19:00:00,,PICA14 / Paseo Intermodal Catorce,Vicuña Mackenna Oriente 7220,,,La Florida,12000,https://www.passline.com/eventos/sigrid-y-los-claveles-27-de-agosto
Passline,CLASES DE CUECA Y SALSA MÁS CUECAS EN VIVO 27/08,musica,2026-08-27,19:00:00,2026-08-28,BAR VICTORIA,,,,Pedro Aguirre Cerda,0,https://www.passline.com/eventos/clases-de-cueca-y-salsa-mas-cuecas-en-vivo-2708
Passline,CLASIFICATORIO MUNDIAL 2027 ▪︎ CHILE vs USA BASKET,,2026-08-27,19:10:00,,"EDIFICIO DE LOS DEPORTES COLECTIVOS, PARQUE ESTADIO NACIONAL.",,,,&Ntilde;u&ntilde;oa,,https://www.passline.com/eventos/clasificatorio-mundial-2027-chile-vs-usa-basket
Passline,Julie,teatro,2026-08-27,19:30:00,,Sala 211 - Laboratorio escénico,Santo domingo 711,,,Santiago,1500,https://www.passline.com/eventos/julie-541507
Passline,UN SHOW DE COMEDIA CON PEDRO RUMINOT - PAINE,teatro,2026-08-27,20:00:00,,Teatro Municipal de Paine,,,,Paine,,https://www.passline.com/eventos/un-show-de-comedia-con-pedro-ruminot-paine
Passline,ARRUINARSE,teatro,2026-08-27,20:00:00,,Teatro Fiebre,,,,Providencia,10000,https://www.passline.com/eventos/arruinarse
